actual_index,actual_x,actual_y,actual_yaw,nearest_path_index,nearest_path_x,nearest_path_y,nearest_error_m,dist_to_path_end_m,request_file
71,4.890366573516419,-1.533748116169117,-1.5987325639896304,103,5.128782090469414,-1.0094748284962323,0.5759378776320409,3.2669854999827503,lt_dwa_scout_bridge_request_299470000000.txt
72,4.892663405146101,-1.6346979306934823,-1.4822454302450272,104,5.178651095474391,-1.0345131809411288,0.6648388472815087,3.3135785481977464,lt_dwa_scout_bridge_request_299862000000.txt
73,4.898407314829543,-1.6945280722241907,-1.3582944528267595,104,5.178651095474391,-1.0345131809411288,0.7170468836174593,3.3385494896805055,lt_dwa_scout_bridge_request_300171000000.txt
74,4.915174233042166,-1.7544263291388447,-1.2193656569787512,105,5.228522340517984,-1.05786794897897,0.7637935672874087,3.355043776657417,lt_dwa_scout_bridge_request_300467000000.txt
75,4.955439241183327,-1.8376803686156578,-1.0411849176303545,106,5.278395875858929,-1.0795013587848137,0.8240973236390648,3.365516273053084,lt_dwa_scout_bridge_request_300768000000.txt
76,5.028210995816812,-1.9330760875616768,-0.8366479787955147,107,5.328271748041093,-1.0993784285830654,0.8860520535565721,3.358771849348152,lt_dwa_scout_bridge_request_301069000000.txt
77,5.154347696848183,-2.0425427645435383,-0.5870853076935582,109,5.428030670083371,-1.1337379171238098,0.9491199189419894,3.3225784999999566,lt_dwa_scout_bridge_request_301375000000.txt
78,5.319439387204981,-2.121985159510561,-0.32024011591135965,111,5.527799401984145,-1.1607244413376006,0.98358327764413,3.245357381557799,lt_dwa_scout_bridge_request_301671000000.txt
79,5.591399022502705,-2.1594957467324507,0.05372283886212139,114,5.677471382429745,-1.1870123108964354,0.9762850424537044,3.071043621962492,lt_dwa_scout_bridge_request_302062000000.txt
80,5.825027192071292,-2.115727116913167,0.35166097404448565,117,5.827166447325878,-1.1959502023318196,0.9197794023622333,2.8772370839391326,lt_dwa_scout_bridge_request_302369000000.txt
81,6.052588980234931,-1.9914629977201388,0.670813170108736,120,5.976884766220373,-1.1874106856608084,0.807608350964449,2.632953898974642,lt_dwa_scout_bridge_request_302676000000.txt
82,6.258875923631574,-1.7634026494675363,1.0007182915413624,123,6.1266261695654,-1.1615211908663463,0.6162396349298376,2.3255244837298132,lt_dwa_scout_bridge_request_303068000000.txt
83,6.390643993786577,-1.4692627402716532,1.3195590011655964,126,6.276390151189858,-1.1186621496811646,0.36874749445998306,2.0186706459576755,lt_dwa_scout_bridge_request_303461000000.txt
84,6.4271997027520635,-1.149360190812574,1.5884974441793163,128,6.376244949757896,-1.0809620662541815,0.08529179500867584,1.7712862135342604,lt_dwa_scout_bridge_request_303863000000.txt
85,6.397701243540354,-0.8910794422358103,1.779157033070761,130,6.476109091900443,-1.0362394715867451,0.16498249848278757,1.6403754724920008,lt_dwa_scout_bridge_request_304174000000.txt
86,6.3138066034249585,-0.6276001784673655,1.9635207166820783,131,6.526044548159007,-1.011333910729973,0.4385162738840185,1.5902253387610201,lt_dwa_scout_bridge_request_304571000000.txt
87,6.242589415093004,-0.4755148597983998,2.076083291818424,131,6.526044548159007,-1.011333910729973,0.6061756080565079,1.6044431020703647,lt_dwa_scout_bridge_request_304867000000.txt
88,6.154996202842428,-0.3303763845245294,2.1673163280586962,130,6.476109091900443,-1.0362394715867451,0.7754715889032855,1.6532975620890447,lt_dwa_scout_bridge_request_305175000000.txt
89,6.090031941968106,-0.23726770455480695,2.2246884927178585,130,6.476109091900443,-1.0362394715867451,0.8873620739100888,1.701540047556917,lt_dwa_scout_bridge_request_305466000000.txt
90,6.0233615670993865,-0.155649592234611,2.2527172929947312,129,6.426175875680493,-1.059461448036462,0.9895126264407446,1.7584886340570718,lt_dwa_scout_bridge_request_305773000000.txt
91,5.986161725449178,-0.11132429880831116,2.253441801187675,128,6.376244949757896,-1.0809620662541815,1.0451613855976967,1.7922471607345014,lt_dwa_scout_bridge_request_306068000000.txt
92,5.959411161377902,-0.0786862266461433,2.221356055335595,128,6.376244949757896,-1.0809620662541815,1.085498625423918,1.8172413116816113,lt_dwa_scout_bridge_request_306369000000.txt
93,5.956877484733149,-0.07495512157692406,2.1433147067585048,128,6.376244949757896,-1.0809620662541815,1.089916989252004,1.819615101855159,lt_dwa_scout_bridge_request_306761000000.txt
94,5.950355086442801,-0.07192095283832053,2.053050406723165,128,6.376244949757896,-1.0809620662541815,1.095237939553808,1.826009960227695,lt_dwa_scout_bridge_request_307068000000.txt
95,5.9503498081590855,-0.06871299327639085,1.9345866962812266,128,6.376244949757896,-1.0809620662541815,1.0981961834671743,1.8258916966053065,lt_dwa_scout_bridge_request_307369000000.txt
96,5.95256847534237,-0.0661357245438028,1.7366000827848993,128,6.376244949757896,-1.0809620662541815,1.09971553540106,1.8235793143092296,lt_dwa_scout_bridge_request_307760000000.txt
97,5.954152395238473,-0.06194987231351132,1.5745527518141607,128,6.376244949757896,-1.0809620662541815,1.1029723369062845,1.8218492993367406,lt_dwa_scout_bridge_request_308068000000.txt
98,5.954518711847546,-0.0600445513915982,1.3763454256185805,128,6.376244949757896,-1.0809620662541815,1.1045929530352843,1.821419388658632,lt_dwa_scout_bridge_request_308368000000.txt
99,5.956271822299048,-0.0559352145721797,1.1568848605574948,128,6.376244949757896,-1.0809620662541815,1.1077262633235174,1.8195362690742756,lt_dwa_scout_bridge_request_308669000000.txt
100,5.951245310452865,-0.05138409229355097,0.9033705591007306,128,6.376244949757896,-1.0809620662541815,1.1138471609131493,1.824426559800798,lt_dwa_scout_bridge_request_308969000000.txt
101,5.963271825082658,-0.0413206897114642,0.620307610574897,129,6.426175875680493,-1.059461448036462,1.1184322794977284,1.8121474566869535,lt_dwa_scout_bridge_request_309270000000.txt
102,5.99927786514024,-0.02320486626233849,0.3713389580458378,130,6.476109091900443,-1.0362394715867451,1.1196459844068645,1.7758218729302533,lt_dwa_scout_bridge_request_309569000000.txt
103,6.071756426162707,-0.00653320694521195,0.1199592344544652,133,6.625921961677689,-0.956636719296736,1.0999073256121672,1.7032042244888776,lt_dwa_scout_bridge_request_309869000000.txt
104,6.18086550342795,-0.0061873709253392264,-0.1168293396580831,136,6.775753421695647,-0.8630617795730194,1.0431324879880726,1.5940946250132615,lt_dwa_scout_bridge_request_310170000000.txt
105,6.3466290667275125,-0.05082169377129664,-0.3592701138842134,138,6.875650501529959,-0.7935836365443187,0.9118985591130154,1.429222925901133,lt_dwa_scout_bridge_request_310563000000.txt
106,6.499565831924034,-0.12621662943542827,-0.5343134713807988,140,6.975554439444946,-0.7189510476900389,0.7601968462663656,1.2816125159938723,lt_dwa_scout_bridge_request_310873000000.txt
107,6.703408400389667,-0.27108656619441174,-0.697121710063623,141,7.025508780199954,-0.6798521405493256,0.5204209348706428,1.1052987586163634,lt_dwa_scout_bridge_request_311260000000.txt
108,6.868766807634687,-0.4262741760499509,-0.8097155780501234,142,7.07546459029635,-0.639648895192187,0.2970736341822951,1.0014361290084064,lt_dwa_scout_bridge_request_311570000000.txt
109,7.000080907069204,-0.5790153829801553,-0.8801315359053264,142,7.07546459029635,-0.639648895192187,0.09674255785360039,0.9673045617179891,lt_dwa_scout_bridge_request_311872000000.txt
110,7.104497116069965,-0.7081969207259252,-0.9238156668544804,142,7.07546459029635,-0.639648895192187,0.0744427253488857,0.9752166702785063,lt_dwa_scout_bridge_request_312168000000.txt
111,7.193644747043979,-0.8356962312504675,-0.9374348084258125,142,7.07546459029635,-0.639648895192187,0.22891288173548138,1.0179891708199373,lt_dwa_scout_bridge_request_312469000000.txt
112,7.270522903560205,-0.936697589825186,-0.9239719384295723,141,7.025508780199954,-0.6798521405493256,0.3549669075557762,1.0638831427264273,lt_dwa_scout_bridge_request_312771000000.txt
113,7.322153213732813,-1.0139809981095624,-0.8785529060499205,141,7.025508780199954,-0.6798521405493256,0.44681093697506985,1.1104867730364185,lt_dwa_scout_bridge_request_313072000000.txt
114,7.362825499925192,-1.0543238667197097,-0.8079525128355998,141,7.025508780199954,-0.6798521405493256,0.5039956776672018,1.1320088597429447,lt_dwa_scout_bridge_request_313368000000.txt
115,7.39241680199437,-1.0759786027354274,-0.6950025703897535,142,7.07546459029635,-0.639648895192187,0.5392979864463028,1.1419546205034758,lt_dwa_scout_bridge_request_313674000000.txt
116,7.399642186188129,-1.0764001429865986,-0.5715622920321467,142,7.07546459029635,-0.639648895192187,0.5439143003526835,1.139952632498072,lt_dwa_scout_bridge_request_313969000000.txt
117,7.401839273041129,-1.0753553106079712,-0.4124698157388617,142,7.07546459029635,-0.639648895192187,0.5443900384570123,1.1382440195791557,lt_dwa_scout_bridge_request_314268000000.txt
118,7.405181006010882,-1.0785937415382296,-0.20686967984432317,142,7.07546459029635,-0.639648895192187,0.548985876799567,1.1402159316671296,lt_dwa_scout_bridge_request_314570000000.txt
119,7.4072764018072546,-1.0775993660522656,-0.0008451173771032994,142,7.07546459029635,-0.639648895192187,0.5494539955125568,1.1385969782372574,lt_dwa_scout_bridge_request_314867000000.txt
120,7.4409341493780685,-1.0741211581470484,0.24997400418926272,142,7.07546459029635,-0.639648895192187,0.5677447894014563,1.1248563406479546,lt_dwa_scout_bridge_request_315167000000.txt
121,7.526535920792943,-1.0355637257505679,0.6092292871217367,143,7.125421782828045,-0.5984066291238304,0.5932949340812222,1.0649417993659263,lt_dwa_scout_bridge_request_315559000000.txt
122,7.602623010649255,-0.9610871494560925,0.8959112611693933,145,7.22533995650601,-0.5130746226724725,0.5857113001289104,0.9764141662524946,lt_dwa_scout_bridge_request_315870000000.txt
123,7.670805147759168,-0.8486195370495052,1.1454416332306343,147,7.325262563765206,-0.4244103932060806,0.5471316798299984,0.8549859818141379,lt_dwa_scout_bridge_request_316174000000.txt
124,7.714356902623089,-0.7144249322860743,1.3570163631296412,148,7.375225291531791,-0.37900791530494143,0.4769851411961391,0.7169898236784952,lt_dwa_scout_bridge_request_316464000000.txt
125,7.734010254667678,-0.5154291767950695,1.5644327340741808,150,7.4751531048652335,-0.28643086693993985,0.34561141462681894,0.5170524511934276,lt_dwa_scout_bridge_request_316770000000.txt
126,7.706982832330896,-0.24204167263659948,1.785832357736394,153,7.625049211011328,-0.14426872314279274,0.12756436789031952,0.2514030527201845,lt_dwa_scout_bridge_request_317171000000.txt
